poll_id,study_id,release_version,pollster_id,sponsor_id,source_url,raw_hash,field_start,field_end,published_at,corrected_at,retrieved_at,valid_from,valid_to,available_at,event_time,election_id,office,state,race_id,population,sample_size,mode,dem_share,rep_share,undecided,other_share,two_party_margin,partisan,exclusion_status,exclusion_reason,parser_version,normalized_at,supersedes
poll-2016-MO-9-6,study-2016-MO-Quinnipiac-2016-11-02,1,Quinnipiac,none,synthetic://fixtures/polls,b71bd213830c0872e1d78e035cbda551a0e6235f8623dfdf943c86c5acdffa37,2016-10-29,2016-11-02,2016-11-03,,2026-09-13T15:08:13.830678+00:00,2016-11-03,,2016-11-03,2016-11-02,senate-2016,US_SENATE,MO,senate-2016-MO,RV,1200,IVR/Online,46.3,53.7,7.82,0.91,-7.409,False,include,,fixtures-v1,2026-09-13T15:08:13.830678+00:00,
poll-2016-MO-10-119,study-2016-MO-Trafalgar-2016-07-12,1,Trafalgar,none,synthetic://fixtures/polls,80d4b3e34972ae9eea5eb2e11c1d38eda0e58ce993af9d36ce3d8003ce2e9a44,2016-07-09,2016-07-12,2016-07-12,,2026-09-13T15:08:13.830678+00:00,2016-07-12,,2016-07-12,2016-07-12,senate-2016,US_SENATE,MO,senate-2016-MO,RV,600,Online,42.6,57.4,2.92,0.18,-14.797,False,include,,fixtures-v1,2026-09-13T15:08:13.830678+00:00,
poll-2016-MO-11-47,study-2016-MO-Quinnipiac-2016-09-22,1,Quinnipiac,none,synthetic://fixtures/polls,326ad45a2b6d73ee0076707d743a90c4706c2132d35b38c1cf39041b8190e758,2016-09-20,2016-09-22,2016-09-23,,2026-09-13T15:08:13.830678+00:00,2016-09-23,,2016-09-23,2016-09-22,senate-2016,US_SENATE,MO,senate-2016-MO,LV,400,Live Phone,43.41,56.59,3.59,0.22,-13.182,False,include,,fixtures-v1,2026-09-13T15:08:13.830678+00:00,
poll-2016-MO-12-46,study-2016-MO-Marist-2016-09-23,1,Marist,none,synthetic://fixtures/polls,452cd64fdd265f43fa544f0ac531ac7783ca2ded036577d5f9945d5d1e80ab84,2016-09-19,2016-09-23,2016-09-24,,2026-09-13T15:08:13.830678+00:00,2016-09-24,,2016-09-24,2016-09-23,senate-2016,US_SENATE,MO,senate-2016-MO,RV,600,Live Phone,41.97,58.03,3.14,0.67,-16.067,False,include,,fixtures-v1,2026-09-13T15:08:13.830678+00:00,
poll-2016-MO-13-66,study-2016-MO-Trafalgar-2016-09-03,1,Trafalgar,none,synthetic://fixtures/polls,7b4f22370b3b26b81970bcfdcba0205ec2ada28e8d5fbff7dc4e7967f4273ffe,2016-08-31,2016-09-03,2016-09-04,,2026-09-13T15:08:13.830678+00:00,2016-09-04,,2016-09-04,2016-09-03,senate-2016,US_SENATE,MO,senate-2016-MO,LV,1200,IVR/Online,41.36,58.64,2.15,1.44,-17.275,False,include,,fixtures-v1,2026-09-13T15:08:13.830678+00:00,
poll-2016-MO-14-118,study-2016-MO-Siena-2016-07-13,1,Siena,none,synthetic://fixtures/polls,f8c8092ee1b1ebe3df7b1c1414ba4f1aded679780102259e7d250b2d77a35332,2016-07-10,2016-07-13,2016-07-14,,2026-09-13T15:08:13.831678+00:00,2016-07-14,,2016-07-14,2016-07-13,senate-2016,US_SENATE,MO,senate-2016-MO,LV,500,IVR/Online,39.77,60.23,4.77,0.29,-20.454,False,include,,fixtures-v1,2026-09-13T15:08:13.831678+00:00,
poll-2016-ND-0-100,study-2016-ND-SurveyUSA-2016-07-31,1,SurveyUSA,none,synthetic://fixtures/polls,b340cd3487491a61fb60aa1f23d984e91a4e4f9d7c18a7d100d5f0175961acca,2016-07-28,2016-07-31,2016-08-01,,2026-09-13T15:08:13.831678+00:00,2016-08-01,,2016-08-01,2016-07-31,senate-2016,US_SENATE,ND,senate-2016-ND,LV,1200,Online,35.09,64.91,5.62,1.01,-29.824,False,include,,fixtures-v1,2026-09-13T15:08:13.831678+00:00,
poll-2016-ND-1-146,study-2016-ND-Emerson-tracker,1,Emerson,none,synthetic://fixtures/polls,7dd42eba0417e0c3173667177ebeeb6ac1f8d2a7fc73229af0bd7c43b17339a8,2016-10-15,2016-10-18,2016-10-19,,2026-09-13T15:08:13.831678+00:00,2016-10-19,,2016-10-19,2016-10-18,senate-2016,US_SENATE,ND,senate-2016-ND,LV,600,Live Phone,35.58,64.42,4.85,2.23,-28.841,False,include,,fixtures-v1,2026-09-13T15:08:13.831678+00:00,
poll-2016-ND-2-36,study-2016-ND-Marist-2016-10-03,1,Marist,none,synthetic://fixtures/polls,ef27b2f520db7954a4b0802df3cbf34c9ef853d0fcd6b556ee1b0460127ad451,2016-09-29,2016-10-03,2016-10-04,,2026-09-13T15:08:13.831678+00:00,2016-10-04,,2016-10-04,2016-10-03,senate-2016,US_SENATE,ND,senate-2016-ND,LV,750,Online,33.09,66.91,4.65,1.24,-33.823,False,include,,fixtures-v1,2026-09-13T15:08:13.831678+00:00,
poll-2016-ND-3-98,study-2016-ND-Emerson-tracker,1,Emerson,none,synthetic://fixtures/polls,3ad7618d9b394a280b6453bb506a55c956ba53ccd7e6064e0f1efd4c74fccea9,2016-10-13,2016-10-16,2016-10-17,,2026-09-13T15:08:13.831678+00:00,2016-10-17,,2016-10-17,2016-10-16,senate-2016,US_SENATE,ND,senate-2016-ND,LV,500,Live Phone,28.41,71.59,5.47,0.31,-43.172,False,include,,fixtures-v1,2026-09-13T15:08:13.831678+00:00,
poll-2016-ND-4-17,study-2016-ND-YouGov-2016-10-22,1,YouGov,none,synthetic://fixtures/polls,e0cedc9e81a6dcc922047603513af796f2440a651b5b21958221dcc6eff2d1ce,2016-10-20,2016-10-22,2016-10-23,,2026-09-13T15:08:13.831678+00:00,2016-10-23,,2016-10-23,2016-10-22,senate-2016,US_SENATE,ND,senate-2016-ND,LV,600,Live Phone,35.65,64.35,3.45,0.87,-28.702,False,include,,fixtures-v1,2026-09-13T15:08:13.831678+00:00,
poll-2016-ND-5-20,study-2016-ND-Data for Progress-2016-10-19,1,Data for Progress,none,synthetic://fixtures/polls,daad0c2ae9e1a114e7f305928a29b32ce3e4aba0a74e041e05a3e394ea6688bc,2016-10-17,2016-10-19,2016-10-20,,2026-09-13T15:08:13.831678+00:00,2016-10-20,,2016-10-20,2016-10-19,senate-2016,US_SENATE,ND,senate-2016-ND,LV,1200,IVR/Online,37.06,62.94,5.23,1.08,-25.876,False,include,,fixtures-v1,2026-09-13T15:08:13.831678+00:00,
poll-2016-ND-6-24,study-2016-ND-Emerson-2016-10-15,1,Emerson,none,synthetic://fixtures/polls,5fd70b5a519071616d6e0bd62c4cf7a5a9297b8984d8de611000b95a5d250f23,2016-10-12,2016-10-15,2016-10-15,,2026-09-13T15:08:13.831678+00:00,2016-10-15,,2016-10-15,2016-10-15,senate-2016,US_SENATE,ND,senate-2016-ND,LV,600,Online,38.91,61.09,3.53,0.83,-22.176,False,include,,fixtures-v1,2026-09-13T15:08:13.831678+00:00,
poll-2016-ND-7-38,study-2016-ND-YouGov-2016-10-01,1,YouGov,none,synthetic://fixtures/polls,a5cd48dcdc3d0ebaed13cb571d38cbd4b9d89e6cbf6c81e595dba40882a93d77,2016-09-27,2016-10-01,2016-10-02,,2026-09-13T15:08:13.831678+00:00,2016-10-02,,2016-10-02,2016-10-01,senate-2016,US_SENATE,ND,senate-2016-ND,LV,500,Online,35.81,64.19,5.47,0.92,-28.389,False,include,,fixtures-v1,2026-09-13T15:08:13.831678+00:00,
poll-2016-ND-8-129,study-2016-ND-SurveyUSA-2016-07-02,1,SurveyUSA,none,synthetic://fixtures/polls,1e8dfbd6383733204c381768389e36f29f0b0983707b5e787f9615f7d0c6635d,2016-06-29,2016-07-02,2016-07-03,,2026-09-13T15:08:13.831678+00:00,2016-07-03,,2016-07-03,2016-07-02,senate-2016,US_SENATE,ND,senate-2016-ND,LV,900,IVR/Online,34.45,65.55,2.19,0.69,-31.095,False,include,,fixtures-v1,2026-09-13T15:08:13.831678+00:00,
poll-2016-ND-9-97,study-2016-ND-Data for Progress-2016-08-03,1,Data for Progress,none,synthetic://fixtures/polls,c13cd4e0c76c4407d134fa3bba7cfed3186fa5dbf5be637732195a377d0604d1,2016-08-01,2016-08-03,2016-08-03,,2026-09-13T15:08:13.831678+00:00,2016-08-03,,2016-08-03,2016-08-03,senate-2016,US_SENATE,ND,senate-2016-ND,LV,1200,Online,34.35,65.65,4.32,1.01,-31.308,False,include,,fixtures-v1,2026-09-13T15:08:13.831678+00:00,
poll-2016-NJ-0-135,study-2016-NJ-Siena-2016-06-26,1,Siena,none,synthetic://fixtures/polls,dd2a2368cc0352e5739f10d1398e135f5a772009adb3051f88da0d6cb63c8623,2016-06-24,2016-06-26,2016-06-27,,2026-09-13T15:08:13.831678+00:00,2016-06-27,,2016-06-27,2016-06-26,senate-2016,US_SENATE,NJ,senate-2016-NJ,LV,500,Online,57.68,42.32,4.1,0.67,15.358,False,include,,fixtures-v1,2026-09-13T15:08:13.831678+00:00,
poll-2016-NJ-1-47,study-2016-NJ-Trafalgar-2016-09-22,1,Trafalgar,none,synthetic://fixtures/polls,86c86b6f38e943ba6f0f3d30c0146a6db54c34e3133a02e54a5a7fc174c06e70,2016-09-19,2016-09-22,2016-09-22,,2026-09-13T15:08:13.831678+00:00,2016-09-22,,2016-09-22,2016-09-22,senate-2016,US_SENATE,NJ,senate-2016-NJ,LV,600,IVR/Online,52.01,47.99,4.63,0.96,4.013,False,include,,fixtures-v1,2026-09-13T15:08:13.831678+00:00,
poll-2016-NJ-2-125,study-2016-NJ-Siena-tracker,1,Siena,none,synthetic://fixtures/polls,4c03fb2831f1915c8c0d3b08114359a84f2e60084e481511146fc9d169c04057,2016-09-15,2016-09-18,2016-09-19,,2026-09-13T15:08:13.831678+00:00,2016-09-19,,2016-09-19,2016-09-18,senate-2016,US_SENATE,NJ,senate-2016-NJ,RV,500,Live Phone,58.41,41.59,4.96,1.04,16.811,False,include,,fixtures-v1,2026-09-13T15:08:13.831678+00:00,
poll-2016-NJ-3-49,study-2016-NJ-Siena-tracker,1,Siena,none,synthetic://fixtures/polls,082240d2f7309f54ec2e9ac4d28672dc3ffb3d501cb8b8db163b0fc153a3f680,2016-09-14,2016-09-17,2016-09-18,,2026-09-13T15:08:13.831678+00:00,2016-09-18,,2016-09-18,2016-09-17,senate-2016,US_SENATE,NJ,senate-2016-NJ,LV,1200,IVR/Online,54.55,45.45,1.06,1.07,9.102,False,include,,fixtures-v1,2026-09-13T15:08:13.831678+00:00,
poll-2016-NJ-4-123,study-2016-NJ-SurveyUSA-2016-07-08,1,SurveyUSA,none,synthetic://fixtures/polls,16a0f46a8a8969220a8e647e92803e391886efc0efe16ea0f81498523f836b56,2016-07-04,2016-07-08,2016-07-09,,2026-09-13T15:08:13.831678+00:00,2016-07-09,,2016-07-09,2016-07-08,senate-2016,US_SENATE,NJ,senate-2016-NJ,LV,600,IVR/Online,52.92,47.08,0.91,1.0,5.842,False,include,,fixtures-v1,2026-09-13T15:08:13.831678+00:00,
poll-2016-NJ-5-105,study-2016-NJ-SurveyUSA-2016-07-26,1,SurveyUSA,none,synthetic://fixtures/polls,477bf39dc0c0014b2672397b10fb37e24550786feb52ba4a489a0ac76f94f600,2016-07-22,2016-07-26,2016-07-27,,2026-09-13T15:08:13.831678+00:00,2016-07-27,,2016-07-27,2016-07-26,senate-2016,US_SENATE,NJ,senate-2016-NJ,LV,400,Live Phone,57.94,42.06,5.0,1.41,15.872,False,include,,fixtures-v1,2026-09-13T15:08:13.831678+00:00,
poll-2016-NJ-6-11,study-2016-NJ-Marist-2016-10-28,1,Marist,none,synthetic://fixtures/polls,030561516a52a94cae64d63c227f55ef2bc5e9dc9a3a0dc7cd05d960bded7495,2016-10-24,2016-10-28,2016-10-28,,2026-09-13T15:08:13.831678+00:00,2016-10-28,,2016-10-28,2016-10-28,senate-2016,US_SENATE,NJ,senate-2016-NJ,LV,600,IVR/Online,57.48,42.52,1.02,1.25,14.965,False,include,,fixtures-v1,2026-09-13T15:08:13.831678+00:00,
poll-2016-NJ-7-59,study-2016-NJ-Emerson-2016-09-10,1,Emerson,none,synthetic://fixtures/polls,69b7f02b8e70c702a315c3bb3c2223aa34aa355d11013a5479298c0de7ac8571,2016-09-06,2016-09-10,2016-09-11,,2026-09-13T15:08:13.831678+00:00,2016-09-11,,2016-09-11,2016-09-10,senate-2016,US_SENATE,NJ,senate-2016-NJ,RV,600,Online,53.9,46.1,2.38,1.42,7.792,False,include,,fixtures-v1,2026-09-13T15:08:13.831678+00:00,
poll-2016-NJ-8-38,study-2016-NJ-Data for Progress-2016-10-01,1,Data for Progress,none,synthetic://fixtures/polls,f5407351587988436a7b269f8555edb51f9712e4e9c3480c2a1c16c1dc506cd7,2016-09-27,2016-10-01,2016-10-02,,2026-09-13T15:08:13.831678+00:00,2016-10-02,,2016-10-02,2016-10-01,senate-2016,US_SENATE,NJ,senate-2016-NJ,RV,900,Online,56.43,43.57,5.27,1.01,12.851,False,include,,fixtures-v1,2026-09-13T15:08:13.831678+00:00,
poll-2016-NJ-9-48,study-2016-NJ-Data for Progress-2016-09-21,1,Data for Progress,none,synthetic://fixtures/polls,fdd26bdc81660b3beb12c310d77471eb5756e809f596c0e458d3f1b95f055572,2016-09-17,2016-09-21,2016-09-22,,2026-09-13T15:08:13.831678+00:00,2016-09-22,,2016-09-22,2016-09-21,senate-2016,US_SENATE,NJ,senate-2016-NJ,LV,400,Online,59.18,40.82,2.38,0.88,18.37,False,include,,fixtures-v1,2026-09-13T15:08:13.831678+00:00,
poll-2016-NJ-10-93,study-2016-NJ-Data for Progress-2016-08-07,1,Data for Progress,none,synthetic://fixtures/polls,c2cced6e577cbc586f4810314fe065580e90fc17707c9fc73a43bf1218d737f0,2016-08-05,2016-08-07,2016-08-08,,2026-09-13T15:08:13.831678+00:00,2016-08-08,,2016-08-08,2016-08-07,senate-2016,US_SENATE,NJ,senate-2016-NJ,RV,400,IVR/Online,57.15,42.85,3.95,0.09,14.299,False,include,,fixtures-v1,2026-09-13T15:08:13.832680+00:00,
poll-2016-NJ-11-92,study-2016-NJ-SurveyUSA-2016-08-08,1,SurveyUSA,none,synthetic://fixtures/polls,c0263f8b52d38ba6fca48db08c515bb8746dc40c2925418fadf9d5701d4b3e63,2016-08-06,2016-08-08,2016-08-08,,2026-09-13T15:08:13.832680+00:00,2016-08-08,,2016-08-08,2016-08-08,senate-2016,US_SENATE,NJ,senate-2016-NJ,RV,500,IVR/Online,60.73,39.27,4.64,1.57,21.462,False,include,,fixtures-v1,2026-09-13T15:08:13.832680+00:00,
poll-2016-NJ-12-57,study-2016-NJ-Trafalgar-2016-09-12,1,Trafalgar,none,synthetic://fixtures/polls,0812ef793b7d964d706dfd7a38b2ba8ccd6562bed4fdb7bc30b79f3deef384bb,2016-09-10,2016-09-12,2016-09-12,,2026-09-13T15:08:13.832680+00:00,2016-09-12,,2016-09-12,2016-09-12,senate-2016,US_SENATE,NJ,senate-2016-NJ,LV,400,Online,49.54,50.46,4.78,0.21,-0.914,False,include,,fixtures-v1,2026-09-13T15:08:13.832680+00:00,
poll-2016-NJ-13-120,study-2016-NJ-SurveyUSA-2016-07-11,1,SurveyUSA,none,synthetic://fixtures/polls,753c5090d79d0acec01c24d99752b0ffb3473c1ad367b78a62ff28b74cd4baab,2016-07-09,2016-07-11,2016-07-12,,2026-09-13T15:08:13.832680+00:00,2016-07-12,,2016-07-12,2016-07-11,senate-2016,US_SENATE,NJ,senate-2016-NJ,LV,750,IVR/Online,53.91,46.09,1.13,1.0,7.81,False,include,,fixtures-v1,2026-09-13T15:08:13.832680+00:00,
poll-2016-NJ-14-52,study-2016-NJ-Siena-2016-09-17,1,Siena,none,synthetic://fixtures/polls,b48eec7d12487b814f7fb07e2ac5ce279a8ec203f8ff9ed5a0dafa48a6a4a38e,2016-09-13,2016-09-17,2016-09-18,,2026-09-13T15:08:13.832680+00:00,2016-09-18,,2016-09-18,2016-09-17,senate-2016,US_SENATE,NJ,senate-2016-NJ,LV,750,IVR/Online,55.12,44.88,6.19,0.89,10.232,False,include,,fixtures-v1,2026-09-13T15:08:13.832680+00:00,
poll-2016-NJ-15-135,study-2016-NJ-SurveyUSA-2016-06-26,1,SurveyUSA,none,synthetic://fixtures/polls,c2b33f64001eb3c754d9b30d1d579ee11b16de537ac0212952a11766690f1f03,2016-06-23,2016-06-26,2016-06-27,,2026-09-13T15:08:13.832680+00:00,2016-06-27,,2016-06-27,2016-06-26,senate-2016,US_SENATE,NJ,senate-2016-NJ,LV,600,Online,55.25,44.75,3.79,0.88,10.497,False,include,,fixtures-v1,2026-09-13T15:08:13.832680+00:00,
poll-2016-NJ-16-97,study-2016-NJ-Siena-2016-08-03,1,Siena,none,synthetic://fixtures/polls,2c1c0d1df39721a70a010596256628eacfd5ea4cf19a2c81e81cd469807896be,2016-08-01,2016-08-03,2016-08-03,,2026-09-13T15:08:13.832680+00:00,2016-08-03,,2016-08-03,2016-08-03,senate-2016,US_SENATE,NJ,senate-2016-NJ,RV,1200,IVR/Online,58.96,41.04,6.64,1.04,17.929,False,include,,fixtures-v1,2026-09-13T15:08:13.832680+00:00,
poll-2016-NV-0-72,study-2016-NV-Quinnipiac-2016-08-28,1,Quinnipiac,none,synthetic://fixtures/polls,8be2a7cc258fcd15fc5d9a7c3dfe4e7bd9b6fb99ac3f161e0cb129f67c425b72,2016-08-25,2016-08-28,2016-08-29,,2026-09-13T15:08:13.832680+00:00,2016-08-29,,2016-08-29,2016-08-28,senate-2016,US_SENATE,NV,senate-2016-NV,RV,500,Live Phone,51.68,48.32,5.17,0.99,3.365,False,include,,fixtures-v1,2026-09-13T15:08:13.832680+00:00,
poll-2016-NV-1-107,study-2016-NV-Data for Progress-tracker,1,Data for Progress,none,synthetic://fixtures/polls,1509e73a0d364cd3a456417e221c42e335c7d8b0f18d579239485f7d78cf694d,2016-10-08,2016-10-11,2016-10-12,,2026-09-13T15:08:13.832680+00:00,2016-10-12,,2016-10-12,2016-10-11,senate-2016,US_SENATE,NV,senate-2016-NV,RV,1200,IVR/Online,56.62,43.38,1.92,1.17,13.232,False,include,,fixtures-v1,2026-09-13T15:08:13.832680+00:00,
poll-2016-NV-2-25,study-2016-NV-YouGov-2016-10-14,1,YouGov,none,synthetic://fixtures/polls,6b2d25e9a5dbfbaf93b71f72cec7081fe61a876acff8226b9b51e1099bf51da9,2016-10-12,2016-10-14,2016-10-15,,2026-09-13T15:08:13.832680+00:00,2016-10-15,,2016-10-15,2016-10-14,senate-2016,US_SENATE,NV,senate-2016-NV,RV,1200,Live Phone,50.37,49.63,1.24,0.95,0.731,False,include,,fixtures-v1,2026-09-13T15:08:13.832680+00:00,
poll-2016-NV-3-111,study-2016-NV-Marist-2016-07-20,1,Marist,none,synthetic://fixtures/polls,6c2ae158b414d0ca83aec13d95d3ee217a7d214d89dd8eb90f0977ab8e6eeac0,2016-07-18,2016-07-20,2016-07-21,,2026-09-13T15:08:13.832680+00:00,2016-07-21,,2016-07-21,2016-07-20,senate-2016,US_SENATE,NV,senate-2016-NV,LV,750,Online,56.06,43.94,3.78,0.93,12.113,False,include,,fixtures-v1,2026-09-13T15:08:13.832680+00:00,
poll-2016-NV-4-56,study-2016-NV-Trafalgar-2016-09-13,1,Trafalgar,none,synthetic://fixtures/polls,b3df5501a1fcd042d869bad3798f383422ba7cdc877b08edebbf40ca48fc14ee,2016-09-11,2016-09-13,2016-09-13,,2026-09-13T15:08:13.832680+00:00,2016-09-13,,2016-09-13,2016-09-13,senate-2016,US_SENATE,NV,senate-2016-NV,RV,750,Online,48.06,51.94,1.36,1.45,-3.885,False,include,,fixtures-v1,2026-09-13T15:08:13.832680+00:00,
poll-2016-NV-5-73,study-2016-NV-SurveyUSA-2016-08-27,1,SurveyUSA,none,synthetic://fixtures/polls,4c38f8fbdf86a70db8a26097a0515ba8e73284fe13212f904a4ec3148e03f8a9,2016-08-24,2016-08-27,2016-08-27,,2026-09-13T15:08:13.832680+00:00,2016-08-27,,2016-08-27,2016-08-27,senate-2016,US_SENATE,NV,senate-2016-NV,LV,500,IVR/Online,51.79,48.21,4.06,0.49,3.575,False,include,,fixtures-v1,2026-09-13T15:08:13.832680+00:00,
poll-2016-NV-6-26,study-2016-NV-PPP-2016-10-13,1,PPP,none,synthetic://fixtures/polls,71b074e9282114e8089000649e2e27fdb1b5a4b8e8dda85f9cf0656a9e1b11f6,2016-10-10,2016-10-13,2016-10-13,,2026-09-13T15:08:13.832680+00:00,2016-10-13,,2016-10-13,2016-10-13,senate-2016,US_SENATE,NV,senate-2016-NV,RV,750,Online,53.85,46.15,2.22,0.81,7.704,False,include,,fixtures-v1,2026-09-13T15:08:13.832680+00:00,
poll-2016-NV-7-141,study-2016-NV-Siena-2016-06-20,1,Siena,none,synthetic://fixtures/polls,76fb2f61104cfb4ec0846c1ec781b7658331fa17071ba74eaaa1bbe5b9f75f6e,2016-06-16,2016-06-20,2016-06-21,,2026-09-13T15:08:13.832680+00:00,2016-06-21,,2016-06-21,2016-06-20,senate-2016,US_SENATE,NV,senate-2016-NV,RV,1200,Online,51.37,48.63,4.36,0.3,2.744,False,include,,fixtures-v1,2026-09-13T15:08:13.832680+00:00,
poll-2016-NV-8-41,study-2016-NV-Data for Progress-2016-09-28,1,Data for Progress,none,synthetic://fixtures/polls,9ee15ab9c51e9803a7a3abd069f9b1241138fa9b8acd6311994f420085b557e0,2016-09-24,2016-09-28,2016-09-29,,2026-09-13T15:08:13.832680+00:00,2016-09-29,,2016-09-29,2016-09-28,senate-2016,US_SENATE,NV,senate-2016-NV,RV,600,Online,58.81,41.19,5.74,1.21,17.629,False,include,,fixtures-v1,2026-09-13T15:08:13.832680+00:00,
poll-2016-NV-9-8,study-2016-NV-Quinnipiac-2016-10-31,1,Quinnipiac,none,synthetic://fixtures/polls,349d97d67a678beab3663c6d7e84779936c21b7edaf19aac862e675c49ebe262,2016-10-27,2016-10-31,2016-11-01,,2026-09-13T15:08:13.832680+00:00,2016-11-01,,2016-11-01,2016-10-31,senate-2016,US_SENATE,NV,senate-2016-NV,RV,500,IVR/Online,53.77,46.23,4.87,1.38,7.541,False,include,,fixtures-v1,2026-09-13T15:08:13.832680+00:00,
poll-2016-NV-10-89,study-2016-NV-Siena-2016-08-11,1,Siena,none,synthetic://fixtures/polls,e56439eedcd855df793d6695f0ee1aabda6cda784efe019b292d06b16a45ea4e,2016-08-08,2016-08-11,2016-08-12,,2026-09-13T15:08:13.832680+00:00,2016-08-12,,2016-08-12,2016-08-11,senate-2016,US_SENATE,NV,senate-2016-NV,LV,1200,Online,50.53,49.47,4.7,1.35,1.058,False,include,,fixtures-v1,2026-09-13T15:08:13.832680+00:00,
poll-2016-NY-0-27,study-2016-NY-Data for Progress-tracker,1,Data for Progress,none,synthetic://fixtures/polls,0a0f000f9d9e9843a71490e87b9de68bbd116aac61387607d7c09825420e6e12,2016-09-20,2016-09-23,2016-09-24,,2026-09-13T15:08:13.832680+00:00,2016-09-24,,2016-09-24,2016-09-23,senate-2016,US_SENATE,NY,senate-2016-NY,LV,500,Live Phone,60.32,39.68,4.66,1.73,20.633,False,include,,fixtures-v1,2026-09-13T15:08:13.832680+00:00,
poll-2016-NY-1-104,study-2016-NY-RMG Research-2016-07-27,1,RMG Research,none,synthetic://fixtures/polls,0d47ab4736bee97e12ffc251c191cbe6af3bcd481ccdc4804a2cc24ed3ac8950,2016-07-24,2016-07-27,2016-07-28,,2026-09-13T15:08:13.832680+00:00,2016-07-28,,2016-07-28,2016-07-27,senate-2016,US_SENATE,NY,senate-2016-NY,LV,600,IVR/Online,56.13,43.87,4.43,1.05,12.265,False,include,,fixtures-v1,2026-09-13T15:08:13.832680+00:00,
poll-2016-NY-2-116,study-2016-NY-Data for Progress-tracker,1,Data for Progress,none,synthetic://fixtures/polls,cb803209a7d5e6732fefc50fe6109b0371639421d875eb1d2d3ee92c88f3e689,2016-09-18,2016-09-21,2016-09-22,,2026-09-13T15:08:13.832680+00:00,2016-09-22,,2016-09-22,2016-09-21,senate-2016,US_SENATE,NY,senate-2016-NY,LV,1200,IVR/Online,61.97,38.03,2.88,0.56,23.933,False,include,,fixtures-v1,2026-09-13T15:08:13.832680+00:00,
poll-2016-NY-3-26,study-2016-NY-Emerson-2016-10-13,1,Emerson,none,synthetic://fixtures/polls,56f555f022318b18c279af4b74bf0b3fd52d590c827287763d1a2631b36197c4,2016-10-09,2016-10-13,2016-10-13,,2026-09-13T15:08:13.832680+00:00,2016-10-13,,2016-10-13,2016-10-13,senate-2016,US_SENATE,NY,senate-2016-NY,LV,500,Online,60.79,39.21,5.42,0.7,21.573,False,include,,fixtures-v1,2026-09-13T15:08:13.832680+00:00,
poll-2016-NY-4-37,study-2016-NY-Quinnipiac-2016-10-02,1,Quinnipiac,none,synthetic://fixtures/polls,e8cdfe65b8921df2877573182b1848f59ed40c19480e5eec46ec43a1002979f8,2016-09-29,2016-10-02,2016-10-03,,2026-09-13T15:08:13.833680+00:00,2016-10-03,,2016-10-03,2016-10-02,senate-2016,US_SENATE,NY,senate-2016-NY,RV,900,Online,59.46,40.54,2.46,1.19,18.924,False,include,,fixtures-v1,2026-09-13T15:08:13.833680+00:00,
poll-2016-NY-5-42,study-2016-NY-YouGov-2016-09-27,1,YouGov,none,synthetic://fixtures/polls,8b789196ddabff4c5f93bf0f641f38c1b2ceba3dba4b75df1380b322630c78f9,2016-09-24,2016-09-27,2016-09-27,,2026-09-13T15:08:13.833680+00:00,2016-09-27,,2016-09-27,2016-09-27,senate-2016,US_SENATE,NY,senate-2016-NY,LV,900,Live Phone,59.63,40.37,3.46,1.33,19.262,False,include,,fixtures-v1,2026-09-13T15:08:13.833680+00:00,
poll-2016-NY-6-61,study-2016-NY-Emerson-2016-09-08,1,Emerson,none,synthetic://fixtures/polls,a5bac9336ba44319a43a4c59328c503f0dfb9b1e5e499ff31f777dfb0fa5b7a9,2016-09-06,2016-09-08,2016-09-09,,2026-09-13T15:08:13.833680+00:00,2016-09-09,,2016-09-09,2016-09-08,senate-2016,US_SENATE,NY,senate-2016-NY,LV,500,Live Phone,59.31,40.69,5.53,1.02,18.622,False,include,,fixtures-v1,2026-09-13T15:08:13.833680+00:00,
poll-2016-NY-7-138,study-2016-NY-YouGov-2016-06-23,1,YouGov,none,synthetic://fixtures/polls,5de1e83c036b1e5db69ca29032f802e261f3237103569057507d4fa33f3918de,2016-06-20,2016-06-23,2016-06-23,,2026-09-13T15:08:13.833680+00:00,2016-06-23,,2016-06-23,2016-06-23,senate-2016,US_SENATE,NY,senate-2016-NY,LV,400,IVR/Online,58.05,41.95,2.05,1.44,16.104,False,include,,fixtures-v1,2026-09-13T15:08:13.833680+00:00,
poll-2016-NY-8-142,study-2016-NY-Data for Progress-2016-06-19,1,Data for Progress,none,synthetic://fixtures/polls,4f43562751acf4b0aa9c23d590275affa5139fa875ed654e6a0c4b3c606175f1,2016-06-17,2016-06-19,2016-06-19,,2026-09-13T15:08:13.833680+00:00,2016-06-19,,2016-06-19,2016-06-19,senate-2016,US_SENATE,NY,senate-2016-NY,RV,900,IVR/Online,59.41,40.59,3.07,1.22,18.817,False,include,,fixtures-v1,2026-09-13T15:08:13.833680+00:00,
poll-2016-NY-9-69,study-2016-NY-Siena-2016-08-31,1,Siena,none,synthetic://fixtures/polls,7f6e75b9e2d93a27947999c5b13588abaf05d4abf00a53bdc491511ab999644c,2016-08-28,2016-08-31,2016-09-01,,2026-09-13T15:08:13.833680+00:00,2016-09-01,,2016-09-01,2016-08-31,senate-2016,US_SENATE,NY,senate-2016-NY,RV,900,Live Phone,54.43,45.57,4.43,1.53,8.852,False,include,,fixtures-v1,2026-09-13T15:08:13.833680+00:00,
